2023-09-04 06:00:24 RAM 3280/3956MB (lfb 3x4MB) SWAP 1990/4026MB (cached 174MB) CPU [37%@1479,44%@1479,42%@1479,41%@1479] EMC_FREQ 0% GR3D_FREQ 97% PLL@28C CPU@32.5C PMIC@50C GPU@29C AO@38C thermal@30.25C
2023-09-04 06:01:24 RAM 3283/3956MB (lfb 3x4MB) SWAP 1988/4026MB (cached 174MB) CPU [42%@1479,38%@1479,39%@1479,44%@1479] EMC_FREQ 0% GR3D_FREQ 39% PLL@28C CPU@32.5C PMIC@50C GPU@29C AO@38.5C thermal@30.25C
2023-09-04 06:02:24 RAM 3284/3956MB (lfb 3x4MB) SWAP 1988/4026MB (cached 174MB) CPU [37%@1479,39%@1479,41%@1479,41%@1479] EMC_FREQ 0% GR3D_FREQ 94% PLL@28.5C CPU@31.5C PMIC@50C GPU@28.5C AO@38C thermal@29.75C
2023-09-04 06:03:24 RAM 3287/3956MB (lfb 3x4MB) SWAP 1982/4026MB (cached 174MB) CPU [37%@1479,36%@1479,43%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 41% PLL@28.5C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30.25C
2023-09-04 06:04:24 RAM 3281/3956MB (lfb 3x4MB) SWAP 1982/4026MB (cached 174MB) CPU [43%@1479,41%@1479,36%@1479,37%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@50C GPU@29C AO@38.5C thermal@29.5C
2023-09-04 06:05:24 RAM 3288/3956MB (lfb 3x4MB) SWAP 1981/4026MB (cached 174MB) CPU [39%@1479,35%@1479,42%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 70% PLL@28C CPU@31C PMIC@50C GPU@28.5C AO@38.5C thermal@30.5C
2023-09-04 06:06:24 RAM 3289/3956MB (lfb 3x4MB) SWAP 1981/4026MB (cached 174MB) CPU [41%@1479,40%@1479,37%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@50C GPU@28.5C AO@38.5C thermal@30.75C
2023-09-04 06:07:24 RAM 3287/3956MB (lfb 3x4MB) SWAP 1980/4026MB (cached 174MB) CPU [39%@1479,42%@1479,42%@1479,36%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@31.5C PMIC@50C GPU@28.5C AO@39C thermal@30.75C
2023-09-04 06:08:24 RAM 3285/3956MB (lfb 3x4MB) SWAP 1980/4026MB (cached 173MB) CPU [37%@1479,35%@1479,42%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@28C CPU@32C PMIC@50C GPU@29C AO@38.5C thermal@30.75C
2023-09-04 06:09:24 RAM 3294/3956MB (lfb 3x4MB) SWAP 1979/4026MB (cached 173MB) CPU [38%@1479,37%@1479,34%@1479,46%@1479] EMC_FREQ 0% GR3D_FREQ 93% PLL@28.5C CPU@32.5C PMIC@50C GPU@29C AO@38.5C thermal@30.75C
2023-09-04 06:10:24 RAM 3301/3956MB (lfb 3x4MB) SWAP 1974/4026MB (cached 173MB) CPU [37%@1479,38%@1479,36%@1479,46%@1479] EMC_FREQ 0% GR3D_FREQ 42% PLL@28C CPU@32.5C PMIC@50C GPU@29C AO@38.5C thermal@30.5C
2023-09-04 06:11:24 RAM 3297/3956MB (lfb 3x4MB) SWAP 1972/4026MB (cached 172MB) CPU [41%@1479,35%@1479,40%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@28.5C CPU@31C PMIC@50C GPU@28.5C AO@38.5C thermal@30.25C
2023-09-04 06:12:24 RAM 3296/3956MB (lfb 3x4MB) SWAP 1971/4026MB (cached 172MB) CPU [39%@1479,36%@1479,45%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 2% PLL@28C CPU@32C PMIC@50C GPU@28.5C AO@38.5C thermal@30.5C
2023-09-04 06:13:24 RAM 3297/3956MB (lfb 3x4MB) SWAP 1971/4026MB (cached 172MB) CPU [39%@1479,38%@1479,40%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 34% PLL@28.5C CPU@31.5C PMIC@50C GPU@29C AO@38.5C thermal@30.5C
2023-09-04 06:14:24 RAM 3297/3956MB (lfb 3x4MB) SWAP 1971/4026MB (cached 172MB) CPU [36%@1479,36%@1479,42%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@31C PMIC@50C GPU@28.5C AO@38C thermal@30C
2023-09-04 06:15:24 RAM 3299/3956MB (lfb 3x4MB) SWAP 1969/4026MB (cached 171MB) CPU [41%@1479,39%@1479,40%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@50C GPU@29C AO@38.5C thermal@30.75C
2023-09-04 06:16:24 RAM 3298/3956MB (lfb 3x4MB) SWAP 1963/4026MB (cached 171MB) CPU [38%@1479,36%@1479,40%@1479,45%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@30.5C PMIC@50C GPU@28.5C AO@38.5C thermal@30.5C
2023-09-04 06:17:24 RAM 3303/3956MB (lfb 3x4MB) SWAP 1963/4026MB (cached 171MB) CPU [36%@1479,36%@1479,42%@1479,43%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@28C CPU@31.5C PMIC@50C GPU@28.5C AO@38.5C thermal@31C
2023-09-04 06:18:24 RAM 3296/3956MB (lfb 4x4MB) SWAP 1963/4026MB (cached 171MB) CPU [42%@1479,38%@1479,36%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 51% PLL@28C CPU@32.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30.75C
2023-09-04 06:19:24 RAM 3298/3956MB (lfb 4x4MB) SWAP 1962/4026MB (cached 171MB) CPU [38%@1479,38%@1479,43%@1479,37%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@31C PMIC@50C GPU@28.5C AO@38C thermal@30.25C
2023-09-04 06:20:24 RAM 3296/3956MB (lfb 4x4MB) SWAP 1962/4026MB (cached 171MB) CPU [42%@1479,39%@1479,35%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 87% PLL@28.5C CPU@31C PMIC@50C GPU@29C AO@38.5C thermal@30.25C
2023-09-04 06:21:24 RAM 3297/3956MB (lfb 4x4MB) SWAP 1962/4026MB (cached 171MB) CPU [39%@1479,40%@1479,41%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 12% PLL@28C CPU@32.5C PMIC@50C GPU@28.5C AO@39C thermal@30.75C
2023-09-04 06:22:24 RAM 3304/3956MB (lfb 4x4MB) SWAP 1961/4026MB (cached 170MB) CPU [37%@1479,38%@1479,41%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@50C GPU@29C AO@38.5C thermal@31C
2023-09-04 06:23:24 RAM 3284/3956MB (lfb 4x4MB) SWAP 2006/4026MB (cached 174MB) CPU [37%@1479,43%@1479,41%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 60% PLL@28C CPU@31.5C PMIC@50C GPU@29C AO@38.5C thermal@30.25C
2023-09-04 06:24:24 RAM 3282/3956MB (lfb 4x4MB) SWAP 2005/4026MB (cached 174MB) CPU [40%@1479,41%@1479,40%@1479,36%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@27.5C CPU@33C PMIC@50C GPU@29C AO@39C thermal@30.75C
2023-09-04 06:25:24 RAM 3288/3956MB (lfb 3x4MB) SWAP 2003/4026MB (cached 174MB) CPU [42%@1479,47%@1479,49%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 79% PLL@28.5C CPU@32.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30.25C
2023-09-04 06:26:24 RAM 3287/3956MB (lfb 3x4MB) SWAP 2002/4026MB (cached 174MB) CPU [39%@1479,42%@1479,36%@1479,37%@1479] EMC_FREQ 0% GR3D_FREQ 11% PLL@28.5C CPU@30.5C PMIC@50C GPU@28.5C AO@38.5C thermal@30.25C
2023-09-04 06:27:24 RAM 3287/3956MB (lfb 3x4MB) SWAP 2002/4026MB (cached 174MB) CPU [39%@1479,37%@1479,39%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@28C CPU@32C PMIC@50C GPU@28.5C AO@38C thermal@30.75C
2023-09-04 06:28:24 RAM 3284/3956MB (lfb 3x4MB) SWAP 2002/4026MB (cached 174MB) CPU [40%@1479,40%@1479,35%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 50% PLL@28C CPU@32.5C PMIC@50C GPU@29C AO@38.5C thermal@30.25C
2023-09-04 06:29:24 RAM 3280/3956MB (lfb 3x4MB) SWAP 1996/4026MB (cached 174MB) CPU [43%@1479,39%@1479,36%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 72% PLL@28C CPU@32C PMIC@50C GPU@29.5C AO@38.5C thermal@30.25C
2023-09-04 06:30:24 RAM 3281/3956MB (lfb 3x4MB) SWAP 1996/4026MB (cached 174MB) CPU [41%@1479,41%@1479,39%@1479,37%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@31C PMIC@50C GPU@28.5C AO@38.5C thermal@30.75C
2023-09-04 06:31:24 RAM 3282/3956MB (lfb 3x4MB) SWAP 1996/4026MB (cached 174MB) CPU [41%@1479,36%@1479,41%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@31.5C PMIC@50C GPU@28.5C AO@39C thermal@30.75C
2023-09-04 06:32:24 RAM 3291/3956MB (lfb 3x4MB) SWAP 1996/4026MB (cached 173MB) CPU [39%@1479,33%@1479,38%@1479,44%@1479] EMC_FREQ 0% GR3D_FREQ 73% PLL@28C CPU@32.5C PMIC@50C GPU@29C AO@38.5C thermal@30.25C
2023-09-04 06:33:24 RAM 3290/3956MB (lfb 3x4MB) SWAP 1996/4026MB (cached 174MB) CPU [39%@1479,36%@1479,45%@1479,36%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@27.5C CPU@33C PMIC@50C GPU@28.5C AO@39C thermal@30.5C
2023-09-04 06:34:24 RAM 3289/3956MB (lfb 3x4MB) SWAP 1996/4026MB (cached 173MB) CPU [40%@1479,34%@1479,39%@1479,43%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@28C CPU@32C PMIC@50C GPU@28.5C AO@38.5C thermal@30C
2023-09-04 06:35:24 RAM 3291/3956MB (lfb 3x4MB) SWAP 1996/4026MB (cached 173MB) CPU [37%@1479,40%@1479,38%@1479,41%@1479] EMC_FREQ 0% GR3D_FREQ 43% PLL@28.5C CPU@33C PMIC@50C GPU@29.5C AO@38.5C thermal@31C
2023-09-04 06:36:24 RAM 3291/3956MB (lfb 3x4MB) SWAP 1995/4026MB (cached 174MB) CPU [41%@1479,41%@1479,37%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 14% PLL@28C CPU@32.5C PMIC@50C GPU@29C AO@38.5C thermal@30.25C
2023-09-04 06:37:24 RAM 3291/3956MB (lfb 3x4MB) SWAP 1995/4026MB (cached 174MB) CPU [39%@1479,39%@1479,41%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 70% PLL@28.5C CPU@32.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30.5C
2023-09-04 06:38:24 RAM 3292/3956MB (lfb 3x4MB) SWAP 1995/4026MB (cached 174MB) CPU [38%@102,40%@102,38%@102,37%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@27C CPU@29.5C PMIC@50C GPU@28C AO@38C thermal@28.75C
2023-09-04 06:39:24 RAM 2050/3956MB (lfb 8x4MB) SWAP 1085/4026MB (cached 169MB) CPU [20%@1224,13%@1224,16%@1224,14%@1224] EMC_FREQ 0% GR3D_FREQ 0% PLL@25C CPU@29C PMIC@50C GPU@27C AO@35.5C thermal@27.25C
2023-09-04 06:40:24 RAM 1394/3956MB (lfb 12x4MB) SWAP 604/4026MB (cached 48MB) CPU [12%@204,13%@204,8%@204,8%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@24C CPU@27C PMIC@50C GPU@25C AO@34.5C thermal@26C
